控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,4,-,68,3489,-,-,-,-1
view_67b206a2242cec6e445f84d58dc224bb.png,4,-,307,3489,-,-,-,-1
view_7d4f42222b3a2e60272f7dbe81828f8f.png,4,-,405,3489,-,-,-,-1
view_e5781695fe273ec9a262860979d49e00.png,4,-,547,3489,-,-,-,-1
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,4,-,701,3489,-,-,-,-1
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,4,-,1118,3489,-,-,-,-1
view_7a1b78888aaa46a10483e22621f71b9b.png,4,-,1368,3489,-,-,-,-1
view_b0267654008e1a53e50f8c0613a80098.png,4,-,1456,3489,-,-,-,-1
view_8fea87349e5bc20d45bce60c7e81d7b8.png,4,-,1599,3489,-,-,-,-1
view_bb275cd494d93b8e04fdf46f1f22028a.png,4,-,1886,3489,-,-,-,-1
view_8133e2b06f41040bd19fd48348238298.png,4,-,2021,3489,-,-,-,-1
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,4,-,2097,3489,-,-,-,-1
view_4444f0930e2b4efa977efcdbf5337d20.png,4,-,2189,3489,-,-,-,-1
view_b856a7325a2f336fdf1c94e6fb3311b6.png,4,-,2313,3489,-,-,-,-1
view_f8871ea2907e20bc5544bc565dfa262a.png,4,-,2446,3489,-,-,-,-1
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,4,-,2488,3489,-,-,-,-1
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,4,-,2792,3489,-,-,-,-1
view_b4c4b445f9430b3128f4aa72894244a2.png,4,-,2800,3489,-,-,-,-1
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,4,-,2877,3489,-,-,-,-1
view_a32f613e211adbcddeaabd1d5cd7e261.png,4,-,3130,3489,-,-,-,-1
view_17451cae68b18dc9049b8ed6ace00329.png,4,-,3137,3489,-,-,-,-1
view_03e8fb460280409b3541bacb3d73770a.png,4,-,3310,3489,-,-,-,-1
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,4,-,3394,3489,-,-,-,-1
view_10c848e6af2d7371e7c8063e46ff610c.png,6,False,6,17,False,False,False,2
view_0702af1b9b25fd7f1de5a51d009bf36c.png,20,True,0,26,True,True,True,21
view_03873cb330123484b28437172d028393.png,20,False,5,26,False,False,False,21
view_83a89454cfb3eaad6b69218a01725efe.png,20,False,25,26,False,False,False,21
view_036db19dd3ca2bfe15721c3150990f86.png,23,True,5,32,False,True,True,86
view_52aab8a65f4106aa0022d30a17056599.png,23,True,7,32,False,False,True,86
view_1b7713bc6b808e56e533c6512cba249f.png,25,True,1,40,True,True,True,65
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,25,False,9,40,False,False,False,65
view_bed672cef70c91b21e0092a3bbffb37b.png,28,True,0,16,True,True,True,23
view_6699c5c7b85728194b0e746ce23b8fe9.png,28,True,1,16,True,True,True,23
view_ac28492f1787a95585bf168676e5e07e.png,30,True,1,8,True,False,True,80
view_cb998351b18907c11d8dbd43fff35ea5.png,30,True,2,8,True,False,True,80
view_56c274f21b5a47c36d6491eeec801b77.png,39,True,1,10,True,True,True,32
view_a5af5ebb87c06b9e8f612da9c70128a0.png,41,True,0,11,True,True,True,137
view_c545dfece6f46c4594b005bd68055924.png,45,True,1,13,True,True,True,196
view_69d0f1bb75ac90746cb81b7943ad209e.png,45,True,4,13,True,False,True,196
view_b189627e1375d433fe899275dffd499e.png,45,False,6,13,False,False,False,196
view_9099969ab4a16a477182d4d0a355d0bc.png,51,True,5,14,False,False,True,82
view_a3bd5f6a4b49068832ef89711954db0e.png,59,False,3,5,False,False,False,294
view_453a65384090d62e4aa9582ec6ec5b69.png,67,True,0,6,True,True,True,107
view_48f72e7fb6e500559fd750d5456ef584.png,73,False,2,5,False,False,False,94
view_ca8c093974517c20c9f70b9dd0064138.png,73,False,3,5,False,False,False,94
view_e483dd3105d6f69d4ca07dd704591063.png,83,False,3,6,False,False,False,90
view_7cbf91c5b6613436461d57f32909d0e9.png,86,True,3,29,True,True,True,116
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,86,False,21,29,False,False,False,116
view_388d4340422c2e5da6110b736456d4b7.png,86,False,28,29,False,False,False,116
view_a4264a050fbc1523de3338d64580ba79.png,90,False,5,10,False,False,False,92
view_4d03888ec5acebf863fb8debe4535ffb.png,106,False,7,13,False,False,False,75
view_ba27a1df2a40cc2f63697dfc71f86c79.png,125,True,1,10,True,True,True,215
view_7721915c5adce47fc5fb59f6d39733c0.png,140,False,3,4,False,False,False,84
view_c6ff152fa1f117da252ea351460521be.png,152,True,0,5,True,True,True,305
view_a25f6186706916f9d65f5bb47b4986f9.png,170,True,0,6,True,True,True,169
view_8f31eb7e5a23c5234243c915c5f14acf.png,188,True,0,5,True,True,False,132
view_2fecd352e53d0f934542a5bfa095083a.png,198,False,2,3,False,False,False,164
view_6036d6a923e2fc4b26cb85b4324b61fd.png,202,False,2,5,False,False,False,27
view_33a7a439057d102525c55da9fe1b0ace.png,232,False,2,4,False,False,False,271
view_a191fdabea2ce5f6881da31a011655f8.png,237,False,1,5,False,False,False,300
