控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_0702af1b9b25fd7f1de5a51d009bf36c.png,0,0.27586206896551724,57,2843,9
view_a5af5ebb87c06b9e8f612da9c70128a0.png,0,0.3103448275862069,68,2843,9
view_1b7713bc6b808e56e533c6512cba249f.png,0,0.41379310344827586,132,2843,9
view_7d4f42222b3a2e60272f7dbe81828f8f.png,0,0.4827586206896552,190,2843,9
view_c545dfece6f46c4594b005bd68055924.png,0,0.4827586206896552,230,2843,9
view_7a1b78888aaa46a10483e22621f71b9b.png,0,0.5172413793103449,242,2843,9
view_56c274f21b5a47c36d6491eeec801b77.png,0,0.5172413793103449,250,2843,9
view_036db19dd3ca2bfe15721c3150990f86.png,0,0.5172413793103449,260,2843,9
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,0,0.5172413793103449,271,2843,9
view_7cbf91c5b6613436461d57f32909d0e9.png,0,0.5862068965517241,362,2843,9
view_6699c5c7b85728194b0e746ce23b8fe9.png,0,0.5862068965517241,391,2843,9
view_cb998351b18907c11d8dbd43fff35ea5.png,0,0.5862068965517241,394,2843,9
view_9099969ab4a16a477182d4d0a355d0bc.png,0,0.6206896551724138,490,2843,9
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,0,0.6206896551724138,495,2843,9
view_ac28492f1787a95585bf168676e5e07e.png,0,0.6551724137931034,570,2843,9
view_bed672cef70c91b21e0092a3bbffb37b.png,0,0.6551724137931034,620,2843,9
view_10c848e6af2d7371e7c8063e46ff610c.png,0,0.6551724137931034,672,2843,9
view_03873cb330123484b28437172d028393.png,0,0.6551724137931034,703,2843,9
view_95f67622e5147705d104f32148611b5b.png,0,0.6896551724137931,733,2843,9
view_ba27a1df2a40cc2f63697dfc71f86c79.png,0,0.6896551724137931,815,2843,9
view_52aab8a65f4106aa0022d30a17056599.png,0,0.6896551724137931,862,2843,9
view_69d0f1bb75ac90746cb81b7943ad209e.png,0,0.6896551724137931,922,2843,9
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,0,0.6896551724137931,934,2843,9
view_b189627e1375d433fe899275dffd499e.png,0,0.7241379310344828,1149,2843,9
view_2fecd352e53d0f934542a5bfa095083a.png,0,0.7241379310344828,1231,2843,9
view_9b02136d8db23bec0831104e52963547.png,0,0.7586206896551724,1363,2843,9
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,0,0.7586206896551724,1367,2843,9
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,0,0.7586206896551724,1375,2843,9
view_48f72e7fb6e500559fd750d5456ef584.png,0,0.7586206896551724,1405,2843,9
view_6036d6a923e2fc4b26cb85b4324b61fd.png,0,0.7586206896551724,1487,2843,9
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,0,0.7586206896551724,1521,2843,9
view_a32f613e211adbcddeaabd1d5cd7e261.png,0,0.7586206896551724,1634,2843,9
view_e483dd3105d6f69d4ca07dd704591063.png,0,0.7586206896551724,1676,2843,9
view_83a89454cfb3eaad6b69218a01725efe.png,0,0.7586206896551724,1688,2843,9
view_a25f6186706916f9d65f5bb47b4986f9.png,0,0.7586206896551724,1694,2843,9
view_a4264a050fbc1523de3338d64580ba79.png,0,0.7931034482758621,1797,2843,9
view_ca8c093974517c20c9f70b9dd0064138.png,0,0.7931034482758621,1819,2843,9
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,0,0.7931034482758621,1861,2843,9
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,0,0.7931034482758621,1891,2843,9
view_44a2a3cd455836de372ed9701f3e7581.png,0,0.7931034482758621,1960,2843,9
view_b4c4b445f9430b3128f4aa72894244a2.png,0,0.7931034482758621,1962,2843,9
view_8f31eb7e5a23c5234243c915c5f14acf.png,0,0.7931034482758621,2130,2843,9
view_388d4340422c2e5da6110b736456d4b7.png,0,0.7931034482758621,2280,2843,9
view_4d03888ec5acebf863fb8debe4535ffb.png,0,0.8275862068965517,2386,2843,9
view_7721915c5adce47fc5fb59f6d39733c0.png,0,0.8275862068965517,2451,2843,9
view_22f8db485079b90257155acbdfb2cc48.png,0,0.8620689655172413,2730,2843,9
view_abbd77f276adb08b7f823e93930b5507.png,17,0.5517241379310345,1,5,717
view_b856a7325a2f336fdf1c94e6fb3311b6.png,38,0.6206896551724138,3,5,178
view_8fea87349e5bc20d45bce60c7e81d7b8.png,79,0.6551724137931034,3,4,758
view_453a65384090d62e4aa9582ec6ec5b69.png,80,0.5517241379310345,3,7,734
view_e5781695fe273ec9a262860979d49e00.png,87,0.5517241379310345,1,5,80
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,106,0.896551724137931,1,3,308
